Name;Tier;Type;Archetype;Roles;Trigger;Effect;Released;Packs;Ownership
African Wild Dog;1;Pet;;;;No ability.;No;Pack6;Pack6
Alchemedes;1;Pet;Mana;Enabler;Start of battle; Give the nearest friend ahead +1 mana.;Yes;Pack5;Pack5
Amami Rabbit;1;Pet;;;;No ability.;No;Pack6;Pack6
AmazonRiverDolphin;1;Pet;;;;No ability.;No;Pack6;Pack6
Amsterdam Albatross;1;Pet;;;;No ability.;No;Pack6;Pack6
Angelshark;1;Pet;;;;No ability.;No;Pack6;Pack6
Ant;1;Pet;Diva;Tempo;Faint; Give one random friend +1 attack and +1 health.;Yes;Pack1;Pack1
Ant;1;Pet;;;Faint; Summon one Ant with 1–2 health.;No;Pack7;Pack7
Araripe Manakin;1;Pet;;;;No ability.;No;Pack6;Pack6
Axehandle Hound;1;Pet;Standard;Tech;Start of battle; If the enemy has multiple copies, deal 10 damage to one of them.;Yes;Pack5;Pack5
Aye-Aye;1;Pet;;;;No ability.;No;Pack6;Pack6
Baku;1;Pet;;;End turn; If turn number is even, replace ailment on one random friend with +1 health.;Yes;Pack5;Pack5
Banggai Cardinalfish;1;Pet;;;;No ability.;No;Pack6;Pack6
Barghest;1;Pet;Ailer;Enabler;Start of battle; Make the last perk-less enemy Spooked.;Yes;Pack5;Pack5
Basilisk;1;Pet;;Tech;Start of battle; Transform the nearest pet ahead to a Rock with +2 health.;Yes;Custom;Pack5
Bat;1;Pet;;;Start of battle; Deal 1–2 damage to one random enemy.;No;Pack7;Pack7
Bay Cat;1;Pet;;;;No ability.;No;Pack6;Pack6
Beaver;1;Pet;Cycler;Enabler;Sell; Give two random friends +1 attack.;Yes;Pack1 Pack2;Pack1 Pack2
Beetle;1;Pet;Perky;;Start of battle; Gain Honey perk.;Yes;Pack2;Pack2
Black Rhino;1;Pet;;;;No ability.;No;Pack6;Pack6
Blue Whale;1;Pet;;;;No ability.;No;Pack6;Pack6
Bluebird;1;Pet;Standard;Scaler;End turn; Give one random friend +1 attack.;Yes;Pack2;Pack2
BlueFootedBooby;1;Pet;;;;No ability.;No;Pack6;Pack6
Blue-Throated Macaw;1;Pet;;;;No ability.;No;Pack6;Pack6
Bombus Dahlbomii;1;Pet;;;;No ability.;No;Pack6;Pack6
Bonobo;1;Pet;;;;No ability.;No;Pack6;Pack6
Bulldog;1;Pet;;;After attack; Set attack equal to health + 1.;Yes;Pack4;Pack4
Bunyip;1;Pet;Roller;Tempo;Start of battle; Gain +1 health for each time you rolled this turn, up to 3 rolls.;Yes;Pack5;Pack5
California Condor;1;Pet;;;;No ability.;No;Pack6;Pack6
Chinchilla;1;Pet;Cycler;;Sell; Summon one 2/2 level 1 Loyal Chinchilla.;Yes;Pack2 Custom;Pack2 Custom
Chipmunk;1;Pet;Perky;;Sell; Stock one 1-gold copy of this pet's food perk.;Yes;Pack2 Pack4;Pack2 Pack4
Cockroach;1;Pet;Standard;;Start of turn; Set attack to the current shop tier + 1.;Yes;Pack3;Pack3
Cone Snail;1;Pet;;;Start of battle; Give the nearest friend behind +2 health.;Yes;Pack4;Pack4
Cricket;1;Pet;Summoner;;Faint; Summon one 1/1 Cricket.;Yes;Pack1;Pack1
Cuddle Toad;1;Pet;Toys;Enabler;Sell; Choose one witch toy that breaks after 2 turns.;Yes;Pack5;Pack5
Darwin's Fox;1;Pet;;;;No ability.;No;Pack6;Pack6
Duck;1;Pet;Bacta;Enabler;Sell; Give shop pets +1 health.;Yes;Pack1 Pack2;Pack1 Pack2
Duckling;1;Pet;Cycler;Pivot;Sell; Give left-most shop pet +2 health.;Yes;Pack3;Pack3
Ethiopian Wolf;1;Pet;;;;No ability.;No;Pack6;Pack6
European Mink;1;Pet;;;;No ability.;No;Pack6;Pack6
Fan Mussel;1;Pet;;;;No ability.;No;Pack6;Pack6
Ferret;1;Pet;Toys;;Buy; Choose one level 1 toy from tier 1.;Yes;Pack2;Pack2
Fish;1;Pet;Leveler;Enabler;Level-up; Give two friends +1 attack and +1 health.;Yes;Pack1;Pack1
Fish;1;Pet;;;;No ability.;No;Pack7;Pack7
Fly;1;Pet;;;;No ability.;No;Pack7;Pack7
Frilled Dragon;1;Pet;;;Start of battle; Gain +1 attack and +1 health per Faint friend.;Yes;Custom;Custom
Frog;1;Pet;Cycler;Pivot;Start of battle; Swap stats of the two adjacent friends.;Yes;Pack3;Pack3
Frog;1;Pet;;;;No ability.;No;Pack7;Pack7
Gecko;1;Pet;Toys;;Start of battle; If you have a toy, gain +2 health.;Yes;Pack2;Pack2
Geometric Tortoise;1;Pet;;;;No ability.;No;Pack6;Pack6
Giant Otter;1;Pet;;;;No ability.;No;Pack6;Pack6
Giant Pangasius;1;Pet;;;;No ability.;No;Pack6;Pack6
Giant Tortoise;1;Pet;;;;No ability.;No;Pack6;Pack6
Goose;1;Pet;;;Start of battle; Remove 1 attack from the first enemy.;Yes;Pack4;Pack4
GreaterSageGrouse;1;Pet;;;;No ability.;No;Pack6;Pack6
Green Sea Turtle;1;Pet;;;;No ability.;No;Pack6;Pack6
Groundhog;1;Pet;Trumpet;;Faint; Gain +1 trumpet.;Yes;Pack4;Pack4
Hawaiian Monk Seal;1;Pet;;;;No ability.;No;Pack6;Pack6
Helmeted Hornbill;1;Pet;;;;No ability.;No;Pack6;Pack6
Horse;1;Pet;Summoner;;Friend summoned; Give it +1 attack until end of battle.;Yes;Pack1;Pack1
Hummingbird;1;Pet;Strawberry;Tempo;Start of battle; Give +2 attack and +1 health to one random Strawberry friend.;Yes;Pack3;Pack3
Humphead Wrasse;1;Pet;;;;No ability.;No;Pack6;Pack6
Ili Pika;1;Pet;;;;No ability.;No;Pack6;Pack6
Iriomote Cat;1;Pet;;;;No ability.;No;Pack6;Pack6
Kakapo;1;Pet;;;;No ability.;No;Pack6;Pack6
Kiwi;1;Pet;Strawberry;Pivot;Sell; Replace one random friendly Strawberry perk with +2 attack and +2 health.;Yes;Pack3;Pack3
Ladybug;1;Pet;Perky;;Friend gained perk; Gain +2 attack until end of battle.;Yes;Pack2;Pack2
Longcomb Sawfish;1;Pet;;;;No ability.;No;Pack6;Pack6
Magpie;1;Pet;Banker;;End turn; Spend up to 1 gold and gain it back next turn.;Yes;Pack4;Pack4
Malay Tapir;1;Pet;;;;No ability.;No;Pack6;Pack6
MarineIguana;1;Pet;;;;No ability.;No;Pack6;Pack6
Marmoset;1;Pet;Roller;Enabler;Sell; Your next roll is free.;Yes;Pack3 Custom;Pack3 Custom
Monkey-Faced Bat;1;Pet;;;;No ability.;No;Pack6;Pack6
Mosquito;1;Pet;Standard;;Start of battle; Deal 1 damage to one random enemy.;Yes;Pack1;Pack1
Moth;1;Pet;Standard;;Start of battle; Give front-most friend +2 attack.;Yes;Pack2 Custom;Pack2 Custom
Mouse;1;Pet;Foodie;Enabler;Sell; Replace shop food with one free Apple.;Yes;Pack3;Pack3
Mouse;1;Pet;;;Faint; Give one random friend 1–2 health.;No;Pack7;Pack7
Murmel;1;Pet;Leveler;Tempo;Friend level-up; Gain +1 attack and +2 health until end of battle.;Yes;Pack5;Pack5
Opossum;1;Pet;Diva;;Sell; Give one random Faint pet in the shop +1 attack and +1 health.;Yes;Pack4;Pack4
Otter;1;Pet;Cycler;Enabler;Buy; Give one random friend +1 health.;Yes;Pack1;Pack1
Painted Terrapin;1;Pet;;;;No ability.;No;Pack6;Pack6
Philippine Eagle;1;Pet;;;;No ability.;No;Pack6;Pack6
Pied Tamarin;1;Pet;Trumpet;;Faint; Spend 1 trumpet to deal 3 damage to one random enemy.;Yes;Pack4;Pack4
Pig;1;Pet;Banker;Enabler;Sell; Gain +1 gold.;Yes;Pack1;Pack1
Pigeon;1;Pet;Foodie;Enabler;Sell; Stock one free Bread Crumbs.;Yes;Pack1;Pack1
Pillbug;1;Pet;Standard;Scaler;Shop tier upgraded; Give the two nearest pets behind +1 health.;Yes;Pack3;Pack3
Proboscis Monkey;1;Pet;;;;No ability.;No;Pack6;Pack6
Pygmy Hippo;1;Pet;;;;No ability.;No;Pack6;Pack6
Pygmy Hog;1;Pet;;;;No ability.;No;Pack6;Pack6
Red Panda;1;Pet;;;;No ability.;No;Pack6;Pack6
Roloway Monkey;1;Pet;;;;No ability.;No;Pack6;Pack6
Saker Falcon;1;Pet;;;;No ability.;No;Pack6;Pack6
Saola;1;Pet;;;;No ability.;No;Pack6;Pack6
Seahorse;1;Pet;Pusher;Enabler;Start of battle; Push the last enemy one space forward.;Yes;Pack3;Pack3
Silkmoth;1;Pet;Guard;;Friend ahead hurt; Give it +1 health. Works 2 times per turn.;Yes;Pack4;Pack4
Silky Sifaka;1;Pet;;;;No ability.;No;Pack6;Pack6
Snail;1;Pet;;;;No ability.;No;Pack7;Pack7
Sneaky Egg;1;Pet;Summoner;Enabler;Start of battle; Faint and summon one 4/2 Cracked Egg.;Yes;Pack5;Pack5
SouthernRockhopperPenguin;1;Pet;;;;No ability.;No;Pack6;Pack6
Spoon-Billed Sandpiper;1;Pet;;;;No ability.;No;Pack6;Pack6
Sumatran Tiger;1;Pet;;;;No ability.;No;Pack6;Pack6
Taita Shrew;1;Pet;;;;No ability.;No;Pack6;Pack6
Taita Trush;1;Pet;;;;No ability.;No;Pack6;Pack6
Tasmanian Devil;1;Pet;;;;No ability.;No;Pack6;Pack6
Tooth-Billed Pigeon;1;Pet;;;;No ability.;No;Pack6;Pack6
TreeKangaroo;1;Pet;;;;No ability.;No;Pack6;Pack6
Tsuchinoko;1;Pet;Leveler;Enabler;Start of battle; Jump to the front space and gain +1 experience.;Yes;Pack5;Pack5
Tucuxi;1;Pet;;;;No ability.;No;Pack6;Pack6
Volcano Snail;1;Pet;;;;No ability.;No;Pack6;Pack6
Warf;1;Pet;Mana;Tempo;Gains mana; Deal 1 damage to one random enemy.;Yes;Pack5;Pack5
White-Bellied Heron;1;Pet;;;;No ability.;No;Pack6;Pack6
Worm;1;Pet;;;;No ability.;No;Pack7;Pack7
African Penguin;2;Pet;Cycler;;Buy; Give three random friends +1 attack.;Yes;Pack4;Pack4
Atlantic Puffin;2;Pet;Strawberry;Tempo;Start of battle; Deal 2 damage for each strawberry friend to one random enemy.;Yes;Pack3;Pack3
Bat;2;Pet;Standard;;Start of battle; Make one random enemy Weak.;Yes;Pack2;Pack2
Beluga Sturgeon;2;Pet;Perky;Enabler;Faint; Summon one 2/3 Dolphin with Rice in the back.;Yes;Pack2;Pack2
Bigfoot;2;Pet;Roller;Enabler;Faint; Gain one free roll next turn.;Yes;Pack5;Pack5
Bird;2;Pet;;;;No ability.;No;Pack7;Pack7
Black Necked Stilt;2;Pet;Trumpet;;Faint; Gain +2 trumpets.;Yes;Pack4;Pack4
Chupacabra;2;Pet;;Carry;Knock out; Give +1 health to one random friend. Triggers 3 times.;Yes;Custom;Pack5
Crab;2;Pet;Standard;;Start of battle; Copy 50% of health from the most healthy friend.;Yes;Pack1;Pack1
Crab;2;Pet;;;;No ability.;No;Pack7;Pack7
Door Head Ant;2;Pet;Guard;;Empty front space; Jump to the front and gain +4 health in battle.;Yes;Pack4;Pack4
Dove;2;Pet;Strawberry;Tempo;Faint; Give two Strawberry friends +2 attack and +2 health.;Yes;Pack3;Pack3
Dromedary;2;Pet;Bacta;;Start of turn; Give the two left-most shop pets +1 attack and +1 health.;Yes;Pack2;Pack2
Drop Bear;2;Pet;Guard;Enabler;Empty front space; Jump to the front and deal 3 damage to the last enemy in battle.;Yes;Pack5;Pack5
Duck;2;Pet;;;;No ability.;No;Pack7;Pack7
Flamingo;2;Pet;Diva;Tempo;Faint; Give the two nearest friends behind +1 attack and +1 health.;Yes;Pack1;Pack1
Frigatebird;2;Pet;Standard;;Friend gained ailment; Give it Rice. Works 1 time per turn.;Yes;Pack2 Custom;Pack2 Custom
Frost Wolf;2;Pet;Ailer;Enabler;Faint; Make the first enemy Cold.;Yes;Pack5;Pack5
Gargoyle;2;Pet;Mana;Tempo;Faint; Spend mana to give the nearest friend behind +1 health per mana.;Yes;Pack5;Pack5
Gazelle;2;Pet;Banker;;Start of turn; Gain +1 attack and +1 health until end of battle for each gold over 10.;Yes;Pack4;Pack4
Ghost Kitten;2;Pet;Standard;Tech;;Takes 3 less damage from abilities.;Yes;Pack5;Pack5
Golden Beetle;2;Pet;Leveler;Enabler;Sell; Gain +1 gold. Triple if attack is at least 10.;Yes;Custom;Pack5
Guinea Pig;2;Pet;Leveler;Enabler;Buy; Summon one 1/1 Guinea Pig.;Yes;Pack3;Pack3
Hedgehog;2;Pet;Cutter;;Faint; Deal 2 damage to ALL pets.;Yes;Pack1;Pack1
Hedgehog;2;Pet;;;;No ability.;No;Pack7;Pack7
Hercules Beetle;2;Pet;;;Sell; Give friends front-to-back +1 attack for each battle this has fought.;Yes;Pack4;Pack4
Iguana;2;Pet;Pusher;Tempo;Enemy summoned or pushed; Deal 2 damage to it.;Yes;Pack3;Pack3
Jackalope;2;Pet;Guard;Tempo;Friend jumped; Deal 2 damage to one random enemy.;Yes;Pack5;Pack5
Jellyfish;2;Pet;Leveler;Scaler;Friend level-up; Gain +1 attack and +1 health.;Yes;Pack3;Pack3
Kangaroo;2;Pet;Guard;;Friend ahead attacks; Gain +1 attack and +1 health.;Yes;Pack1;Pack1
Koala;2;Pet;Cutter;Scaler;Friend hurt; Give it +1 attack and +1 health. Works 1 time per turn.;Yes;Pack3;Pack3
Lemur;2;Pet;Toys;;Buy; Choose one level 1 toy from tier 2.;Yes;Pack2;Pack2
Lizard;2;Pet;Summoner;;Hurt; Summon one 3/1 Lizard Tail. Works 2 times per turn.;Yes;Pack4;Pack4
Lucky Cat;2;Pet;Leveler;Tempo;Level-up; Gain +2 attack and +2 health now and +1 gold next turn.;Yes;Pack5;Pack5
Mandrill;2;Pet;Toys;;Faint; Break friendly tier 2 or lower toy.;Yes;Pack2;Pack2
Mothman;2;Pet;Ailer;Tempo;Faint; Deal 2 damage to one enemy with ailments.;Yes;Pack5;Pack5
Nightcrawler;2;Pet;Summoner;Tempo;Faint; Summon one Crawler with 3 attack, and +1 health for each friend summoned this turn.;Yes;Custom;Pack5
Ogopogo;2;Pet;Leveler;Enabler;Start of battle; Give front-most friend +1 experience.;Yes;Pack5;Pack5
Panda;2;Pet;Standard;Carry;Start of battle; If friend ahead, give 50% attack and health to it and then faint.;Yes;Pack3;Pack3
Peacock;2;Pet;Cutter;Carry;Hurt; Gain +4 attack.;Yes;Pack1;Pack1
Penguin;2;Pet;;;;No ability.;No;Pack7;Pack7
Rabbit;2;Pet;;;;No ability.;No;Pack7;Pack7
Rat;2;Pet;Cutter;Enabler;Faint; Summon one 1/1 Dirty Rat up front for the opponent.;Yes;Pack1;Pack1
Robin;2;Pet;Standard;;Start of battle; Summon one 2/3 level 1 Nest and give it Egg perk.;Yes;Pack2;Pack2
Salamander;2;Pet;Cycler;Scaler;Friend bought; If it was a Start of battle pet, gain +2 attack. Works 1 time per turn.;Yes;Pack3;Pack3
Sea Turtle;2;Pet;Summoner;;Friend summoned; If in battle, give it +3 health.;Yes;Pack4;Pack4
Sea Urchin;2;Pet;Diva;;Faint; Remove 5 health from the first enemy.;Yes;Pack4;Pack4
Shrimp;2;Pet;Cycler;Scaler;Friend sold; Give one random friend +1 health.;Yes;Pack2 Custom;Pack2 Custom
Snail;2;Pet;Standard;Comeback;End turn; If you lost last battle, give friends +1 health.;Yes;Pack1;Pack1
Sphinx;2;Pet;Toys;Enabler;Buy; Choose one level 1 adventurous toy.;Yes;Custom;Pack5
Spider;2;Pet;Summoner;;Faint; Summon one tier 3 pet as a 2/2 level 1.;Yes;Pack1;Pack1
Squid;2;Pet;Trumpet;;Faint; Spend 1 trumpet to make the first enemy Inked.;Yes;Pack4;Pack4
Squirrel;2;Pet;;;;No ability.;No;Pack7;Pack7
Stoat;2;Pet;;;Sell; Summon one level 1 pet from your current tier as a 1/1.;Yes;Pack4;Pack4
Stork;2;Pet;Summoner;Enabler;Faint; Summon one level 1 pet from the previous shop tier as a 3/2.;Yes;Pack3;Pack3
Swan;2;Pet;Banker;Enabler;Start of turn; Gain +1 gold.;Yes;Pack1;Pack1
Tabby Cat;2;Pet;Perky;;Friendly gained perk; Give two random friends +1 health until end of battle.;Yes;Pack2;Pack2
Thunderbird;2;Pet;Mana;Enabler;Start of battle; Give the front-most friend +3 mana.;Yes;Pack5;Pack5
Toucan;2;Pet;Perky;;Faint; Copy food perk to the nearest friend behind.;Yes;Pack2 Custom;Pack2 Custom
Turtle;2;Pet;;;;No ability.;No;Pack7;Pack7
Wombat;2;Pet;;;Start of battle; Copy Faint Ability as level 1 from the highest tier enemy.;Yes;Custom;Custom
Worm;2;Pet;Foodie;Enabler;Start of turn; Stock one 2-gold Apple.;Yes;Pack1;Pack1
Yak;2;Pet;Cutter;Enabler;End turn; Take 1 damage and gain +1 attack.;Yes;Pack3;Pack3
Aardvark;3;Pet;;;Enemy summoned; Gain +2 attack and +2 health.;Yes;Custom;Custom
Anteater;3;Pet;Summoner;Enabler;Faint; Summon one 1/1 level 3 Ant.;Yes;Pack3;Pack3
Baboon;3;Pet;;;End turn; Give one random friend from the current shop tier +1 attack and +2 health.;Yes;Pack4;Pack4
Badger;3;Pet;Standard;Carry;Faint; Deal 50% attack damage to adjacent pets.;Yes;Pack1;Pack1
Bear;3;Pet;;;Faint; Give Honey perk to all pets within one space.;Yes;Custom;Custom
Betta Fish;3;Pet;Diva;;Faint; Give the nearest friend behind +4 attack and +2 health.;Yes;Pack4;Pack4
Brain Cramp;3;Pet;Guard;Enabler;Empty front space; Jump to the front and gain +2 attack and Melon perk in battle.;Yes;Pack5;Pack5
Calygreyhound;3;Pet;Mana;Tempo;Faint; Spend mana to remove 1 health per mana from the two most healthy enemies.;Yes;Pack5;Pack5
Camel;3;Pet;Cutter;;Hurt; Give the nearest friend behind +1 attack and +2 health.;Yes;Pack1;Pack1
Capybara;3;Pet;Roller;Pivot;Roll; Give unfrozen shop pets +2 attack and +1 health.;Yes;Pack3;Pack3
Cassowary;3;Pet;Strawberry;Scaler;End turn; If this has a Strawberry friend, gain +1 attack and +1 health.;Yes;Pack3;Pack3
Chicken;3;Pet;;;;No ability.;No;Pack7;Pack7
Deer Lord;3;Pet;;;End turn; Knock out the nearest friend ahead and stock one free Bacon.;Yes;Custom;Pack5
Dodo;3;Pet;Standard;Carry;Start of battle; Give 50% of attack to the nearest friend ahead.;Yes;Pack1;Pack1
Dog;3;Pet;Summoner;Tempo;Friend summoned; Gain +2 attack and +1 health until end of battle.;Yes;Pack1;Pack1
Dolphin;3;Pet;Standard;;Start of battle; Deal 4 damage to the lowest health enemy.;Yes;Pack1;Pack1
Eel;3;Pet;Standard;Carry;Start of battle; Gain +50% health.;Yes;Pack3;Pack3
